"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","filterSessions_withInvalidDate_shouldThrowException()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withInvalidDate_shouldThrowException"
"","318","testRevokeSessionById_whenSessionNotFound_shouldThrowException()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceRevokeTests","com.talentradar.user_service.SessionServiceRevokeTests","testRevokeSessionById_whenSessionNotFound_shouldThrowException"
"","3381","Should return error for invalid registration token","","Fri Jul 25 19:15:32 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","validateRegistrationToken_WithInvalidToken_ReturnsError"
"","44","Should complete registration with valid token","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","completeRegistration_WithValidToken_ReturnsOk"
"","236","filterSessions_withOnlyUserId_shouldCallFilterByOnlyUserId()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withOnlyUserId_shouldCallFilterByOnlyUserId"
"","6","filterSessions_withUserIdAndDate_shouldCallFilterByUserIdAndDate()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withUserIdAndDate_shouldCallFilterByUserIdAndDate"
"","33","Should return bad request for missing role ID","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithMissingRoleId_ReturnsBadRequest"
"","34","Should return conflict for existing email","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithExistingEmail_ReturnsConflict"
"","35","Should return bad request when passwords don't match","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","completeRegistration_WithMismatchedPasswords_ReturnsBadRequest"
"","3","filterSessions_withInvalidUserId_shouldThrowException()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withInvalidUserId_shouldThrowException"
"","31","Should return bad request for invalid token during completion","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","completeRegistration_WithInvalidToken_ReturnsBadRequest"
"","254","Should successfully invite user with valid data","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithValidData_ReturnsCreated"
"","18","filterSessions_withOnlyDate_shouldCallFilterByOnlyDate()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withOnlyDate_shouldCallFilterByOnlyDate"
"","130","testGetActiveSessions_returnsMappedDtos()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceRevokeTests","com.talentradar.user_service.SessionServiceRevokeTests","testGetActiveSessions_returnsMappedDtos"
"","23","Should return bad request when token is missing","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","validateRegistrationToken_WithMissingToken_ReturnsBadRequest"
"","54","Should validate registration token successfully","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","validateRegistrationToken_WithValidToken_ReturnsUserEmail"
"","89","Should return bad request for invalid email","","Fri Jul 25 19:15:36 GMT 2025","passed","Fri Jul 25 19:15:36 GMT 2025","","com.talentradar.user_service.controller.AuthControllerTest","com.talentradar.user_service.controller.AuthControllerTest","inviteUser_WithInvalidEmail_ReturnsBadRequest"
"","7","testRevokeSessionById_whenSessionExists_shouldInvalidateAndDelete()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceRevokeTests","com.talentradar.user_service.SessionServiceRevokeTests","testRevokeSessionById_whenSessionExists_shouldInvalidateAndDelete"
"","4","filterSessions_withNoFilters_shouldReturnAll()","","Fri Jul 25 19:15:37 GMT 2025","passed","Fri Jul 25 19:15:37 GMT 2025","","com.talentradar.user_service.SessionServiceFilterTest","com.talentradar.user_service.SessionServiceFilterTest","filterSessions_withNoFilters_shouldReturnAll"
